,Type,Year Built,Heating,Cooling,Parking,Lot,Price/sqft,Buyers Agency Fee,zpid
1665,Singlefamily,Built in 1856,Propane / butane,Wall,Garage - detached,8.80 Acres,$44 price/sqft,,115294293
1666,Single family residence,Built in 1987,Electric,Electric,Driveway,10.40 Acres,$180 price/sqft,3.00% buyers agency fee,91584575
1667,Single family residence,Built in 1965,"Natural gas, heat pump",Central air,Open parking,2.10 Acres,$88 price/sqft,$0 buyers agency fee,2061254334
1668,"Single family residence, residential",Built in 2003,Forced air,Central air,2 Garage spaces,"9,583 sqft",$197 price/sqft,3.00% buyers agency fee,60064556
1669,Single family residence,Built in 1992,"Electric, heat pump, wood",Heat pump,Driveway,12.10 Acres,$206 price/sqft,3.00% buyers agency fee,234208872
1670,Single family residence,Built in 2020,"Forced air, natural gas",Electric,Garage,"7,710 sqft",$139 price/sqft,3.00% buyers agency fee,2082411317
1671,Single family residence,Built in 1990,Electric,Central air,Open parking,0.35 Acres,$133 price/sqft,,73541445
1672,Condominium,Built in 1996,"Forced air, natural gas",Central air,Open parking,,$123 price/sqft,,73495333
1673,Single family residence,Built in 1998,"Central, electric","Central air, central electric, heat pump",2 Attached garage spaces,2.43 Acres,$208 price/sqft,,97273167
1674,"Single family residence, manufactured home",,"Heat pump, propane tank leased",Window unit(s),Driveway,,$78 price/sqft,3.00% buyers agency fee,222927239
1675,Single family residence,Built in 1923,Heat pump,Heat pump,Garage,3.70 Acres,$125 price/sqft,2.50% buyers agency fee,218463427
1676,Single family residence,Built in 2012,"Electric, heat pump",Electric,Garage,0.29 Acres,$171 price/sqft,3.00% buyers agency fee,116029586
1677,"Single family residence, residential",Built in 1963,Central,Central air,5 Garage spaces,3.79 Acres,$131 price/sqft,,218407264
1678,Single family residence,Built in 1930,Natural gas,Central air,2 Attached garage spaces,"3,484 sqft",$90 price/sqft,,73611461
1679,Single family residence,Built in 2020,Heat pump,Heat pump,2 Garage spaces,"7,649 sqft",$241 price/sqft,3.00% buyers agency fee,2086225680
1680,Single family residence,Built in 2010,"Heat pump, electric",Central air,3 Attached garage spaces,1.75 Acres,$149 price/sqft,,116236438
1681,Single family residence,Built in 1890,"Forced air, gas",Central air,2 Carport spaces,0.36 Acres,$79 price/sqft,,96933657
1682,Single family residence,Built in 1975,"Forced air, multiple units, propane, wall furnace, fireplace(s)",Central air,Open parking,3.70 Acres,$103 price/sqft,,105764181
1683,"Single family residence, residential",Built in 1973,Forced air,Central air,2 Attached garage spaces,"9,147 sqft",,3.00% buyers agency fee,1363695
1684,Single family residence,,"Electric, forced air",Central air,1 Carport space,"5,662 sqft",$105 price/sqft,,105770335
1685,Single family residence,Built in 1940,"Forced air, natural gas",Central air,1 Carport space,"6,969 sqft",$149 price/sqft,,73612148
1686,Single family residence,Built in 1985,"Central, furnace, electric, propane, wood",Central air,4.5 Garage spaces,2.95 Acres,$203 price/sqft,,111287960
1687,Singlefamily,Built in 1943,Forced air,Central,1 Parking space,"9,800 sqft",$66 price/sqft,,116007183
1688,Single family residence,Built in 1953,"Central, forced air, furnace, natural gas","Central air, central electric, zoned",1 Garage space,0.64 Acres,$102 price/sqft,,112032300
1689,"Single family residence, residential",Built in 1870,Forced air,Central air,1 Garage space,"2,613 sqft",$135 price/sqft,3.00% buyers agency fee,1369110
1690,"Residential/farm, single family residence",Built in 1933,"Forced air, gas",Window unit(s),Open parking,0.25 Acres,$47 price/sqft,3% buyers agency fee,230202133
1691,"Single family residence, residential",Built in 1926,Forced air,Central air,2 Attached garage spaces,"6,969 sqft",$204 price/sqft,3.00% buyers agency fee,1426846
1692,"Single family residence, residential",Built in 1994,Has heating (unspecified type),Central air,1 Attached garage space,21 Acres,$149 price/sqft,,2077777079
1693,Single family residence,Built in 2005,Forced air,Heat pump,Garage,0.51 Acres,$132 price/sqft,3.00% buyers agency fee,105938879
1694,Single family residence,Built in 1975,"Forced air, heat pump, natural gas",No data,1 Attached garage space,0.47 Acres,$139 price/sqft,,246165274
1695,Single family residence,Built in 1965,"Central, electric",Central air,2 Attached garage spaces,0.27 Acres,$135 price/sqft,,96950233
1696,Single family residence,Built in 1959,"None, other","None, other",2 Carport spaces,1.01 Acres,$85 price/sqft,2.00% buyers agency fee,234209272
1697,"Single family residence, triplex",Built in 1906,Forced air,"Electric, window unit(s)",No data,,$60 price/sqft,3.00% buyers agency fee,1397041
1698,"Condominium, quadruplex",Built in 2007,Electric,Electric,2 Garage spaces,,$189 price/sqft,2.50% buyers agency fee,225984063
1699,"Single family residence, residential",Built in 1968,No data,Central air,1 Garage space,0.33 Acres,$112 price/sqft,3.00% buyers agency fee,1412972
1700,Residential,Built in 1994,"Natural gas, forced air",Central electric,2 Attached garage spaces,"6,000 sqft",$145 price/sqft,,113290116
1701,Single family residence,Built in 1970,Heat pump,Heat pump,2 Garage spaces,0.50 Acres,$95 price/sqft,3.00% buyers agency fee,115457945
1702,Single family residence,,Heat pump,Heat pump,No data,0.44 Acres,$211 price/sqft,3.00% buyers agency fee,225988692
1703,"Zero lot line, residential",Built in 2008,Has heating (unspecified type),Central air,2 Attached garage spaces,0.51 Acres,$160 price/sqft,,105795660
1704,Single family residence,Built in 1961,"Forced air, natural gas",Central air,1 Attached garage space,0.25 Acres,$136 price/sqft,,97260909
1705,Single family residence,Built in 2007,"Heat pump, electric",Heat pump,2 Attached garage spaces,1.03 Acres,$119 price/sqft,,96956117
1706,Single family residence,Built in 1997,"Electric, heat pump",Central air,Open parking,0.69 Acres,$158 price/sqft,,115431648
1707,Single family residence,,"Forced air, natural gas",Electric,Driveway,0.34 Acres,$122 price/sqft,3.00% buyers agency fee,233957136
